Assembly Accession	ANI Best ANI match ANI	ANI Best ANI match Assembly	ANI Best ANI match Assembly Coverage	ANI Best ANI match Type Category	ANI Best ANI match Organism	ANI Best ANI match Type Assembly Coverage	ANI Best match status	ANI Category	ANI Check status	ANI Comment	ANI Declared ANI match ANI	ANI Declared ANI match Assembly	ANI Declared ANI match Assembly Coverage	ANI Declared ANI match Type Category	ANI Declared ANI match Organism	ANI Declared ANI match Type Assembly Coverage	ANI Submitted organism	ANI Submitted species	Annotation BUSCO Complete 	Annotation BUSCO Duplicated 	Annotation BUSCO Fragmented 	Annotation BUSCO Lineage 	Annotation BUSCO Missing 	Annotation BUSCO Single Copy 	Annotation BUSCO Total Count 	Annotation BUSCO Version 	Annotation Count Gene Non-coding	Annotation Count Gene Other	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene	Annotation Count Gene Total	Annotation Method	Annotation Name	Annotation Pipeline	Annotation Provider	Annotation Release Date	Annotation Release Version	Annotation Report URL	Annotation Software Version	Annotation Status	Assembly Assembly Method	Assembly Atypical Is Atypical	Assembly Atypical Warnings	Assembly BioProject Accession	Assembly BioProject Lineage Accession	Assembly BioProject Lineage Parent Accession	Assembly BioProject Lineage Parent Accessions	Assembly BioProject Lineage Title	Assembly BioSample Accession	Assembly BioSample Attribute Name	Assembly BioSample Attribute Value	Assembly BioSample BioProject Accession	Assembly BioSample BioProject Parent Accession	Assembly BioSample BioProject Parent Accessions	Assembly BioSample BioProject Title	Assembly BioSample Description Comment	Assembly BioSample Description Organism Common Name	Assembly BioSample Description Organism Infraspecific Names Breed	Assembly BioSample Description Organism Infraspecific Names Cultivar	Assembly BioSample Description Organism Infraspecific Names Ecotype	Assembly BioSample Description Organism Infraspecific Names Isolate	Assembly BioSample Description Organism Infraspecific Names Sex	Assembly BioSample Description Organism Infraspecific Names Strain	Assembly BioSample Description Organism Name	Assembly BioSample Description Organism Pangolin Classification	Assembly BioSample Description Organism Taxonomic ID	Assembly BioSample Description Title	Assembly BioSample Sample Identifiers Database	Assembly BioSample Sample Identifiers Label	Assembly BioSample Sample Identifiers Value	Assembly BioSample Last updated	Assembly BioSample Models	Assembly BioSample Owner Contact Lab	Assembly BioSample Owner Name	Assembly BioSample Package	Assembly BioSample Publication date	Assembly BioSample Status Status	Assembly BioSample Status When	Assembly BioSample Submission date	Assembly Blast URL	Assembly Description	Assembly Level	Assembly Linked Assembly Accession	Assembly Linked Assembly Type	Assembly Name	Assembly Notes 	Assembly Paired Assembly Accession	Assembly Paired Assembly Changed	Assembly Paired Assembly Manual Diff	Assembly Paired Assembly Name	Assembly Paired Assembly Only Genbank	Assembly Paired Assembly Only RefSeq	Assembly Paired Assembly Status	Assembly Refseq Category	Assembly Release Date	Assembly Sequencing Tech	Assembly Status	Assembly Submitter	Assembly Suppression Reason	Assembly Synonym	Assembly Type	Assembly Stats Contig L50	Assembly Stats Contig N50	Assembly Stats Gaps Between Scaffolds Count	Assembly Stats GC Count	Assembly Stats GC Percent	Assembly Stats Genome Coverage	Assembly Stats Number of Component Sequences	Assembly Stats Number of Contigs	Assembly Stats Number of Organelles	Assembly Stats Number of Scaffolds	Assembly Stats Scaffold L50	Assembly Stats Scaffold N50	Assembly Stats Total Number of Chromosomes	Assembly Stats Total Sequence Length	Assembly Stats Total Ungapped Length	CheckM completeness	CheckM completeness percentile	CheckM contamination	CheckM marker set	CheckM marker set rank	CheckM species tax id	CheckM version	Current Accession	Organelle Assembly Name	Organelle BioProject Accessions	Organelle Description	Organelle Infraspecific Name	Organelle Submitter	Organelle Total Seq Length	Organism Common Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Organism Infraspecific Names Strain	Organism Name	Organism Pangolin Classification	Organism Taxonomic ID	Source Database	Type Material Display Text	Type Material Label	WGS contigs URL	WGS project accession	WGS URL
GCF_013085055.1																											299		17127		17426		Annotation submitted by Xi'an Jiaotong University	Eukaryotic Annotation Propagation Pipeline	Xi'an Jiaotong University	2023-03-30				Full annotation	NextDenovo v. v2.0			PRJNA624237	PRJNA624237			Fusarium oxysporum Fo47 Genome sequencing	SAMN14572364	strain	Fo47													Fusarium oxysporum Fo47		660027	Pathogen: environmental/food/other sample from Fusarium oxysporum Fo47		Sample name	Fo47	2020-05-16T18:38:12.340	Pathogen.env		Xi'an Jiaotong University	Pathogen.env.1.0	2020-05-16T18:38:12.340	live	2020-05-16T18:38:12.340	2020-04-10T02:48:03.823	https://blast.ncbi.nlm.nih.gov/Blast.cgi?PAGE_TYPE=BlastSearch&PROG_DEF=blastn&BLAST_SPEC=GDH_GCF_013085055.1		Complete Genome			ASM1308505v1		GCA_013085055.1			Annotation submitted by Xi'an Jiaotong University			current	representative genome	2020-05-13	PacBio RSII	current	Xi'an Jiaotong University			haploid	5	4523040		24028725	47.5	341.0x	12	12		12	5	4523040	12	50358849	50358849								GCF_013085055.1													Fo47	Fusarium oxysporum Fo47		660027	SOURCE_DATABASE_REFSEQ					
GCF_013085055.1																											299		17127		17426		Annotation submitted by Xi'an Jiaotong University	Eukaryotic Annotation Propagation Pipeline	Xi'an Jiaotong University	2023-03-30				Full annotation	NextDenovo v. v2.0			PRJNA624237	PRJNA624237			Fusarium oxysporum Fo47 Genome sequencing	SAMN14572364	strain	Fo47													Fusarium oxysporum Fo47		660027	Pathogen: environmental/food/other sample from Fusarium oxysporum Fo47	SRA		SRS6461076	2020-05-16T18:38:12.340	Pathogen.env		Xi'an Jiaotong University	Pathogen.env.1.0	2020-05-16T18:38:12.340	live	2020-05-16T18:38:12.340	2020-04-10T02:48:03.823	https://blast.ncbi.nlm.nih.gov/Blast.cgi?PAGE_TYPE=BlastSearch&PROG_DEF=blastn&BLAST_SPEC=GDH_GCF_013085055.1		Complete Genome			ASM1308505v1		GCA_013085055.1			Annotation submitted by Xi'an Jiaotong University			current	representative genome	2020-05-13	PacBio RSII	current	Xi'an Jiaotong University			haploid	5	4523040		24028725	47.5	341.0x	12	12		12	5	4523040	12	50358849	50358849								GCF_013085055.1													Fo47	Fusarium oxysporum Fo47		660027	SOURCE_DATABASE_REFSEQ					
GCF_013085055.1																											299		17127		17426		Annotation submitted by Xi'an Jiaotong University	Eukaryotic Annotation Propagation Pipeline	Xi'an Jiaotong University	2023-03-30				Full annotation	NextDenovo v. v2.0			PRJNA624237	PRJNA624237			Fusarium oxysporum Fo47 Genome sequencing	SAMN14572364	culture_collection	NRRL:54002													Fusarium oxysporum Fo47		660027	Pathogen: environmental/food/other sample from Fusarium oxysporum Fo47		Sample name	Fo47	2020-05-16T18:38:12.340	Pathogen.env		Xi'an Jiaotong University	Pathogen.env.1.0	2020-05-16T18:38:12.340	live	2020-05-16T18:38:12.340	2020-04-10T02:48:03.823	https://blast.ncbi.nlm.nih.gov/Blast.cgi?PAGE_TYPE=BlastSearch&PROG_DEF=blastn&BLAST_SPEC=GDH_GCF_013085055.1		Complete Genome			ASM1308505v1		GCA_013085055.1			Annotation submitted by Xi'an Jiaotong University			current	representative genome	2020-05-13	PacBio RSII	current	Xi'an Jiaotong University			haploid	5	4523040		24028725	47.5	341.0x	12	12		12	5	4523040	12	50358849	50358849								GCF_013085055.1													Fo47	Fusarium oxysporum Fo47		660027	SOURCE_DATABASE_REFSEQ					
GCF_013085055.1																											299		17127		17426		Annotation submitted by Xi'an Jiaotong University	Eukaryotic Annotation Propagation Pipeline	Xi'an Jiaotong University	2023-03-30				Full annotation	NextDenovo v. v2.0			PRJNA624237	PRJNA624237			Fusarium oxysporum Fo47 Genome sequencing	SAMN14572364	culture_collection	NRRL:54002													Fusarium oxysporum Fo47		660027	Pathogen: environmental/food/other sample from Fusarium oxysporum Fo47	SRA		SRS6461076	2020-05-16T18:38:12.340	Pathogen.env		Xi'an Jiaotong University	Pathogen.env.1.0	2020-05-16T18:38:12.340	live	2020-05-16T18:38:12.340	2020-04-10T02:48:03.823	https://blast.ncbi.nlm.nih.gov/Blast.cgi?PAGE_TYPE=BlastSearch&PROG_DEF=blastn&BLAST_SPEC=GDH_GCF_013085055.1		Complete Genome			ASM1308505v1		GCA_013085055.1			Annotation submitted by Xi'an Jiaotong University			current	representative genome	2020-05-13	PacBio RSII	current	Xi'an Jiaotong University			haploid	5	4523040		24028725	47.5	341.0x	12	12		12	5	4523040	12	50358849	50358849								GCF_013085055.1													Fo47	Fusarium oxysporum Fo47		660027	SOURCE_DATABASE_REFSEQ					
GCF_013085055.1																											299		17127		17426		Annotation submitted by Xi'an Jiaotong University	Eukaryotic Annotation Propagation Pipeline	Xi'an Jiaotong University	2023-03-30				Full annotation	NextDenovo v. v2.0			PRJNA624237	PRJNA624237			Fusarium oxysporum Fo47 Genome sequencing	SAMN14572364	collected_by	not collected													Fusarium oxysporum Fo47		660027	Pathogen: environmental/food/other sample from Fusarium oxysporum Fo47		Sample name	Fo47	2020-05-16T18:38:12.340	Pathogen.env		Xi'an Jiaotong University	Pathogen.env.1.0	2020-05-16T18:38:12.340	live	2020-05-16T18:38:12.340	2020-04-10T02:48:03.823	https://blast.ncbi.nlm.nih.gov/Blast.cgi?PAGE_TYPE=BlastSearch&PROG_DEF=blastn&BLAST_SPEC=GDH_GCF_013085055.1		Complete Genome			ASM1308505v1		GCA_013085055.1			Annotation submitted by Xi'an Jiaotong University			current	representative genome	2020-05-13	PacBio RSII	current	Xi'an Jiaotong University			haploid	5	4523040		24028725	47.5	341.0x	12	12		12	5	4523040	12	50358849	50358849								GCF_013085055.1													Fo47	Fusarium oxysporum Fo47		660027	SOURCE_DATABASE_REFSEQ					
GCF_013085055.1																											299		17127		17426		Annotation submitted by Xi'an Jiaotong University	Eukaryotic Annotation Propagation Pipeline	Xi'an Jiaotong University	2023-03-30				Full annotation	NextDenovo v. v2.0			PRJNA624237	PRJNA624237			Fusarium oxysporum Fo47 Genome sequencing	SAMN14572364	collected_by	not collected													Fusarium oxysporum Fo47		660027	Pathogen: environmental/food/other sample from Fusarium oxysporum Fo47	SRA		SRS6461076	2020-05-16T18:38:12.340	Pathogen.env		Xi'an Jiaotong University	Pathogen.env.1.0	2020-05-16T18:38:12.340	live	2020-05-16T18:38:12.340	2020-04-10T02:48:03.823	https://blast.ncbi.nlm.nih.gov/Blast.cgi?PAGE_TYPE=BlastSearch&PROG_DEF=blastn&BLAST_SPEC=GDH_GCF_013085055.1		Complete Genome			ASM1308505v1		GCA_013085055.1			Annotation submitted by Xi'an Jiaotong University			current	representative genome	2020-05-13	PacBio RSII	current	Xi'an Jiaotong University			haploid	5	4523040		24028725	47.5	341.0x	12	12		12	5	4523040	12	50358849	50358849								GCF_013085055.1													Fo47	Fusarium oxysporum Fo47		660027	SOURCE_DATABASE_REFSEQ					
GCF_013085055.1																											299		17127		17426		Annotation submitted by Xi'an Jiaotong University	Eukaryotic Annotation Propagation Pipeline	Xi'an Jiaotong University	2023-03-30				Full annotation	NextDenovo v. v2.0			PRJNA624237	PRJNA624237			Fusarium oxysporum Fo47 Genome sequencing	SAMN14572364	collection_date	not collected													Fusarium oxysporum Fo47		660027	Pathogen: environmental/food/other sample from Fusarium oxysporum Fo47		Sample name	Fo47	2020-05-16T18:38:12.340	Pathogen.env		Xi'an Jiaotong University	Pathogen.env.1.0	2020-05-16T18:38:12.340	live	2020-05-16T18:38:12.340	2020-04-10T02:48:03.823	https://blast.ncbi.nlm.nih.gov/Blast.cgi?PAGE_TYPE=BlastSearch&PROG_DEF=blastn&BLAST_SPEC=GDH_GCF_013085055.1		Complete Genome			ASM1308505v1		GCA_013085055.1			Annotation submitted by Xi'an Jiaotong University			current	representative genome	2020-05-13	PacBio RSII	current	Xi'an Jiaotong University			haploid	5	4523040		24028725	47.5	341.0x	12	12		12	5	4523040	12	50358849	50358849								GCF_013085055.1													Fo47	Fusarium oxysporum Fo47		660027	SOURCE_DATABASE_REFSEQ					
GCF_013085055.1																											299		17127		17426		Annotation submitted by Xi'an Jiaotong University	Eukaryotic Annotation Propagation Pipeline	Xi'an Jiaotong University	2023-03-30				Full annotation	NextDenovo v. v2.0			PRJNA624237	PRJNA624237			Fusarium oxysporum Fo47 Genome sequencing	SAMN14572364	collection_date	not collected													Fusarium oxysporum Fo47		660027	Pathogen: environmental/food/other sample from Fusarium oxysporum Fo47	SRA		SRS6461076	2020-05-16T18:38:12.340	Pathogen.env		Xi'an Jiaotong University	Pathogen.env.1.0	2020-05-16T18:38:12.340	live	2020-05-16T18:38:12.340	2020-04-10T02:48:03.823	https://blast.ncbi.nlm.nih.gov/Blast.cgi?PAGE_TYPE=BlastSearch&PROG_DEF=blastn&BLAST_SPEC=GDH_GCF_013085055.1		Complete Genome			ASM1308505v1		GCA_013085055.1			Annotation submitted by Xi'an Jiaotong University			current	representative genome	2020-05-13	PacBio RSII	current	Xi'an Jiaotong University			haploid	5	4523040		24028725	47.5	341.0x	12	12		12	5	4523040	12	50358849	50358849								GCF_013085055.1													Fo47	Fusarium oxysporum Fo47		660027	SOURCE_DATABASE_REFSEQ					
GCF_013085055.1																											299		17127		17426		Annotation submitted by Xi'an Jiaotong University	Eukaryotic Annotation Propagation Pipeline	Xi'an Jiaotong University	2023-03-30				Full annotation	NextDenovo v. v2.0			PRJNA624237	PRJNA624237			Fusarium oxysporum Fo47 Genome sequencing	SAMN14572364	geo_loc_name	not collected													Fusarium oxysporum Fo47		660027	Pathogen: environmental/food/other sample from Fusarium oxysporum Fo47		Sample name	Fo47	2020-05-16T18:38:12.340	Pathogen.env		Xi'an Jiaotong University	Pathogen.env.1.0	2020-05-16T18:38:12.340	live	2020-05-16T18:38:12.340	2020-04-10T02:48:03.823	https://blast.ncbi.nlm.nih.gov/Blast.cgi?PAGE_TYPE=BlastSearch&PROG_DEF=blastn&BLAST_SPEC=GDH_GCF_013085055.1		Complete Genome			ASM1308505v1		GCA_013085055.1			Annotation submitted by Xi'an Jiaotong University			current	representative genome	2020-05-13	PacBio RSII	current	Xi'an Jiaotong University			haploid	5	4523040		24028725	47.5	341.0x	12	12		12	5	4523040	12	50358849	50358849								GCF_013085055.1													Fo47	Fusarium oxysporum Fo47		660027	SOURCE_DATABASE_REFSEQ					
GCF_013085055.1																											299		17127		17426		Annotation submitted by Xi'an Jiaotong University	Eukaryotic Annotation Propagation Pipeline	Xi'an Jiaotong University	2023-03-30				Full annotation	NextDenovo v. v2.0			PRJNA624237	PRJNA624237			Fusarium oxysporum Fo47 Genome sequencing	SAMN14572364	geo_loc_name	not collected													Fusarium oxysporum Fo47		660027	Pathogen: environmental/food/other sample from Fusarium oxysporum Fo47	SRA		SRS6461076	2020-05-16T18:38:12.340	Pathogen.env		Xi'an Jiaotong University	Pathogen.env.1.0	2020-05-16T18:38:12.340	live	2020-05-16T18:38:12.340	2020-04-10T02:48:03.823	https://blast.ncbi.nlm.nih.gov/Blast.cgi?PAGE_TYPE=BlastSearch&PROG_DEF=blastn&BLAST_SPEC=GDH_GCF_013085055.1		Complete Genome			ASM1308505v1		GCA_013085055.1			Annotation submitted by Xi'an Jiaotong University			current	representative genome	2020-05-13	PacBio RSII	current	Xi'an Jiaotong University			haploid	5	4523040		24028725	47.5	341.0x	12	12		12	5	4523040	12	50358849	50358849								GCF_013085055.1													Fo47	Fusarium oxysporum Fo47		660027	SOURCE_DATABASE_REFSEQ					
